“”,”X”,”X.1”,”X.2”,”Month”,”Day”,”Name”,”Party”,”From”,”Age”
"238","Rep. Fred Upton, R-Mich., 61",TRUE,"4/23/2014",23,4,"Rep. Fred Upton"," R","Mich.",61
"240","Rep. Jack Kingston, R-Ga., 59",TRUE,"4/24/2014",24,4,"Rep. Jack Kingston"," R","Ga.",59
"242","Rep. Keith Rothfus, R-Pa., 52",TRUE,"4/25/2014",25,4,"Rep. Keith Rothfus"," R","Pa.",52
"244","Del. Pedro R. Pierluisi, D-P.R., 55",TRUE,"4/26/2014",26,4,"Del. Pedro R. Pierluisi"," D","P.R.",55
"245","Rep. Niki Tsongas, D-Mass., 68",TRUE,"4/26/2014",26,4,"Rep. Niki Tsongas"," D","Mass.",68
"247","Sen. Cory Booker, D-N.J., 46",TRUE,"4/27/2014",27,4,"Sen. Cory Booker"," D","N.J.",46
"248","Rep. G.K. Butterfield, D-N.C., 67",TRUE,"4/27/2014",27,4,"Rep. G.K. Butterfield"," D","N.C.",67
"249","Rep. Daniel Webster, R-Fla., 65",TRUE,"4/27/2014",27,4,"Rep. Daniel Webster"," R","Fla.",65
"251","Rep. Tom Cole, R-Okla., 65",TRUE,"4/28/2014",28,4,"Rep. Tom Cole"," R","Okla.",65
"253","Rep. Mo Brooks, R-Ala., 60",TRUE,"4/29/2014",29,4,"Rep. Mo Brooks"," R","Ala.",60
"254","Rep. Rodney Frelinghuysen, R-N.J., 68",TRUE,"4/29/2014",29,4,"Rep. Rodney Frelinghuysen"," R","N.J.",68
"255","Rep. Steven Horsford, D-Nev., 41",TRUE,"4/29/2014",29,4,"Rep. Steven Horsford"," D","Nev.",41
"256","Sen. Debbie Stabenow, D-Mich., 64",TRUE,"4/29/2014",29,4,"Sen. Debbie Stabenow"," D","Mich.",64
"258","Rep. Robin Kelly, D-Ill., 58",TRUE,"4/30/2014",30,4,"Rep. Robin Kelly"," D","Ill.",58
"259","Rep. Robert C. Scott, D-Va., 67",TRUE,"4/30/2014",30,4,"Rep. Robert C. Scott"," D","Va.",67
"261","Rep. Matt Cartwright, D-Pa., 53",TRUE,"5/1/2014",1,5,"Rep. Matt Cartwright"," D","Pa.",53
"262","Rep. Ed Perlmutter, D-Colo., 61",TRUE,"5/1/2014",1,5,"Rep. Ed Perlmutter"," D","Colo.",61
"264","Rep. Peter Welch, D-Vt., 67",TRUE,"5/2/2014",2,5,"Rep. Peter Welch"," D","Vt.",67
"266","Rep. Ralph M. Hall, R-Texas, 91",TRUE,"5/3/2014",3,5,"Rep. Ralph M. Hall"," R","Texas",91
"267","Sen. Jim Risch, R-Idaho, 71",TRUE,"5/3/2014",3,5,"Sen. Jim Risch"," R","Idaho",71
"268","Sen. David Vitter, D-La., 53",TRUE,"5/3/2014",3,5,"Sen. David Vitter"," D","La.",53
"269","Sen. Ron Wyden, D-Ore., 65",TRUE,"5/3/2014",3,5,"Sen. Ron Wyden"," D","Ore.",65
"271","Rep. Colleen Hanabusa, D-Hawaii, 63",TRUE,"5/4/2014",4,5,"Rep. Colleen Hanabusa"," D","Hawaii",63
"273","Sen. Richard C. Shelby, R-Ala., 80",TRUE,"5/6/2014",6,5,"Sen. Richard C. Shelby"," R","Ala.",80
"275","Rep. Ted Deutch, D-Fla., 48",TRUE,"5/7/2014",7,5,"Rep. Ted Deutch"," D","Fla.",48
"276","Rep. Blaine Luetkemeyer, R-Mo., 62",TRUE,"5/7/2014",7,5,"Rep. Blaine Luetkemeyer"," R","Mo.",62
"277","Rep. Candice S. Miller, R-Mich., 60",TRUE,"5/7/2014",7,5,"Rep. Candice S. Miller"," R","Mich.",60
"279","Rep. Vern Buchanan, R-Fla., 63",TRUE,"5/8/2014",8,5,"Rep. Vern Buchanan"," R","Fla.",63
"281","Sen. Dean Heller, R-Nev., 52",TRUE,"5/10/2014",10,5,"Sen. Dean Heller"," R","Nev.",52
"282","Rep. Mike Kelly, R-Pa., 66",TRUE,"5/10/2014",10,5,"Rep. Mike Kelly"," R","Pa.",66
"284","Rep. Frank A. LoBiondo, R-N.J., 68",TRUE,"5/12/2014",12,5,"Rep. Frank A. LoBiondo"," R","N.J.",68
"285","Rep. Jared Polis, D-Colo., 39",TRUE,"5/12/2014",12,5,"Rep. Jared Polis"," D","Colo.",39
"287","Rep. Tom Cotton, R-Ark., 37",TRUE,"5/13/2014",13,5,"Rep. Tom Cotton"," R","Ark.",37
"288","Rep. Chris Gibson, R-N.Y., 50",TRUE,"5/13/2014",13,5,"Rep. Chris Gibson"," R","N.Y.",50
"290","Rep. Paul Broun, R-Ga.,68",TRUE,"5/14/2014",14,5,"Rep. Paul Broun"," R","Ga.",68
"291","Rep. Erik Paulsen, R-Minn., 49",TRUE,"5/14/2014",14,5,"Rep. Erik Paulsen"," R","Minn.",49
"292","Rep. Jackie Speier, D-Calif., 64",TRUE,"5/14/2014",14,5,"Rep. Jackie Speier"," D","Calif.",64
"294","Sen. Dan Coats, R-Ind., 71",TRUE,"5/16/2014",16,5,"Sen. Dan Coats"," R","Ind.",71
"295","Rep. John Conyers Jr., D-Mich., 85",TRUE,"5/16/2014",16,5,"Rep. John Conyers Jr."," D","Mich.",85
"296","Rep. Lois Frankel, D-Fla., 66",TRUE,"5/16/2014",16,5,"Rep. Lois Frankel"," D","Fla.",66
"297","Rep. James P. Moran, D-Va., 69",TRUE,"5/16/2014",16,5,"Rep. James P. Moran"," D","Va.",69
"299","Rep. George Miller, D-Calif., 69",TRUE,"5/17/2014",17,5,"Rep. George Miller"," D","Calif.",69
"301","Sen. Tom Udall, D-N.M., 66",TRUE,"5/18/2014",18,5,"Sen. Tom Udall"," D","N.M.",66
"303","Rep. John Carney, D-Del., 58",TRUE,"5/20/2014",20,5,"Rep. John Carney"," D","Del.",58
"304","Rep. Chris Collins, R-N.Y., 64",TRUE,"5/20/2014",20,5,"Rep. Chris Collins"," R","N.Y.",64
"305","Sen. Michael D. Crapo, R-Idaho, 63",TRUE,"5/20/2014",20,5,"Sen. Michael D. Crapo"," R","Idaho",63
"306","Rep. Nick J. Rahall II, D-W.Va., 65",TRUE,"5/20/2014",20,5,"Rep. Nick J. Rahall II"," D","W.Va.",65
"308","Sen. Al Franken, D-Minn., 63",TRUE,"5/21/2014",21,5,"Sen. Al Franken"," D","Minn.",63
"310","Rep. Cathy McMorris Rodgers, R-Wash., 45",TRUE,"5/22/2014",22,5,"Rep. Cathy McMorris Rodgers"," R","Wash.",45
"311","Sen. Lisa Murkowski, R-Alaska, 57",TRUE,"5/22/2014",22,5,"Sen. Lisa Murkowski"," R","Alaska",57
"312","Rep. John Sarbanes, D-Md., 52",TRUE,"5/22/2014",22,5,"Rep. John Sarbanes"," D","Md.",52
"314","Rep. Dina Titus, D-Nev., 64",TRUE,"5/23/2014",23,5,"Rep. Dina Titus"," D","Nev.",64
"316","Rep. Steve Cohen, D-Tenn., 65",TRUE,"5/24/2014",24,5,"Rep. Steve Cohen"," D","Tenn.",65
"317","Rep. Charlie Dent, R-Pa., 54",TRUE,"5/24/2014",24,5,"Rep. Charlie Dent"," R","Pa.",54
"318","Rep. Doug Lamborn, R-Colo., 60",TRUE,"5/24/2014",24,5,"Rep. Doug Lamborn"," R","Colo.",60
"320","Sen. Amy Klobuchar, D-Minn., 54",TRUE,"5/25/2014",25,5,"Sen. Amy Klobuchar"," D","Minn.",54
